,Name,Shape,Elevation,Last_Eruption,Geo_Location,Island
81,Batur,caldera,"1,717 metres (5,633 ft)",2000 (1), ﻿8.242°S 115.375°E﻿ ,Bali
82,Agung,stratovolcano,"3,031 metres (9,944 ft)",2019 (ongoing), ﻿8.342°S 115.508°E﻿ ,Bali
83,Samalas,stratovolcano,"2,867 metres (9,406 ft)",1257 (7), ﻿8.41°S 116.40°E﻿ ,Lombok
84,Rinjani,stratovolcano,"3,726 metres (12,224 ft)",2016 (2), ﻿8.42°S 116.47°E﻿ ,Lombok
85,Tambora,stratovolcano,"2,722 metres (8,930 ft)",1967 ± 20 years (0), ﻿8.25°S 118.00°E﻿ ,Sumbawa
86,Sangeang Api,complex volcano,"1,949 metres (6,394 ft)",2019 (ongoing), ﻿8.20°S 119.07°E﻿ ,Sangeang
87,Wai Sano,caldera,"903 metres (2,963 ft)",unknown, ﻿8.72°S 120.02°E﻿ ,Flores
88,Poco Leok,unknown,"1,675 metres (5,495 ft)",unknown, ﻿8.68°S 120.48°E﻿ ,Flores
89,Ranakah,lava dome,"2,100 metres (6,900 ft)",March 1991 (1), ﻿8.62°S 120.52°E﻿ ,Flores
90,Inierie,stratovolcano,"2,245 metres (7,365 ft)",8050 BC, ﻿8.875°S 120.95°E﻿ ,Flores
91,Inielika,complex volcano,"1,559 metres (5,115 ft)",11 January 2001 (2), ﻿8.73°S 120.98°E﻿ ,Flores
92,Ebulobo,stratovolcano,"2,124 metres (6,969 ft)",27 February 1969 (2), ﻿8.82°S 121.18°E﻿ ,Flores
93,Iya,stratovolcano,"637 metres (2,090 ft)",27 January 1969 (3), ﻿8.897°S 121.645°E﻿ ,Flores
94,Sukaria,caldera,"1,500 metres (4,900 ft)",unknown, ﻿8.792°S 121.77°E﻿ ,Flores
95,Ndete Napu,fumarole,"750 metres (2,460 ft)",unknown, ﻿8.72°S 121.78°E﻿ ,Flores
96,Kelimutu,complex volcano,"1,639 metres (5,377 ft)",3 June 1968 (1), ﻿8.77°S 121.82°E﻿ ,Flores
97,Paluweh,stratovolcano,"875 metres (2,871 ft)",3 February 1985 (1), ﻿8.32°S 121.708°E﻿ ,Palu'e
98,Egon,stratovolcano,"1,703 metres (5,587 ft)",2008, ﻿8.67°S 122.45°E﻿ ,Flores
99,Ilimuda,stratovolcano,"1,100 metres (3,600 ft)",unknown, ﻿8.478°S 122.671°E﻿ ,Flores
100,Lewotobi,stratovolcano,"1,703 metres (5,587 ft)",30 May 2003 (2), ﻿8.542°S 122.775°E﻿ ,Flores
101,Leroboleng,complex volcano,"1,117 metres (3,665 ft)",26 June 2003 (3), ﻿8.358°S 122.842°E﻿ ,Flores
102,Riang Kotang,fumarole,200 metres (660 ft),unknown, ﻿8.30°S 122.892°E﻿ ,Flores
103,Iliboleng,stratovolcano,"1,659 metres (5,443 ft)",June 1993 (1), ﻿8.342°S 123.258°E﻿ ,Adonara Island
104,Lewotolo,stratovolcano,"1,423 metres (4,669 ft)",2020 (ongoing), ﻿8.272°S 123.505°E﻿ ,Lembata
105,Ililabalekan,stratovolcano,"1,018 metres (3,340 ft)",unknown, ﻿8.55°S 123.38°E﻿ ,Lembata
106,Iliwerung,complex volcano,"1,018 metres (3,340 ft)",22 May 1999 (0), ﻿8.53°S 123.57°E﻿ ,Lembata
107,Batu Tara,stratovolcano,"748 metres (2,454 ft)",2007-15 (2), ﻿7.792°S 123.579°E﻿ ,Komba island
108,Sirung,complex volcano,"862 metres (2,828 ft)",2015 (2), ﻿8.508°S 124.13°E﻿ ,Pantar Island
109,Yersey,submarine,"−3,800 metres (−12,500 ft)",unknown, ﻿7.53°S 123.95°E﻿ ,-
110,Emperor of China,submarine,"−2,850 metres (−9,350 ft)",unknown, ﻿6.62°S 124.22°E﻿ ,Banda_Sea
111,Nieuwerkerk,submarine,"−2,285 metres (−7,497 ft)",unknown, ﻿6.60°S 124.675°E﻿ ,Banda_Sea
112,Gunungapi Wetar,stratovolcano,282 metres (925 ft),1699 (3), ﻿6.642°S 126.65°E﻿ ,Banda_Sea
113,Wurlali,stratovolcano,"868 metres (2,848 ft)",3 June 1892 (2), ﻿7.125°S 128.675°E﻿ ,Banda_Sea
114,Teon,stratovolcano,"655 metres (2,149 ft)",3 June 1904 (2), ﻿6.92°S 129.125°E﻿ ,Banda_Sea
115,Nila,stratovolcano,"781 metres (2,562 ft)",7 May 1968 (1), ﻿6.73°S 129.50°E﻿ ,Banda_Sea
116,Serua,stratovolcano,"641 metres (2,103 ft)",18 September 1921 (2), ﻿6.30°S 130.00°E﻿ ,Banda_Sea
117,Manuk,stratovolcano,282 metres (925 ft),unknown, ﻿5.53°S 130.292°E﻿ ,Banda_Sea
118,Banda Api,caldera,"640 metres (2,100 ft)",9 May 1988 (3), ﻿4.525°S 129.871°E﻿ ,Banda_Sea
119,Colo,stratovolcano,"507 metres (1,663 ft)",18 July 1983 (4), ﻿0.17°S 121.608°E﻿ ,Sulawesi_and_Sangihe_Islands
120,Ambang,complex volcano,"1,795 metres (5,889 ft)",1845 ± 5 years, ﻿0.75°N 124.42°E﻿ ,Sulawesi_and_Sangihe_Islands
121,Soputan,stratovolcano,"1,784 metres (5,853 ft)",December 2018, ﻿1.108°N 124.73°E﻿ ,Sulawesi_and_Sangihe_Islands
122,Sempu,caldera,"1,549 metres (5,082 ft)",unknown, ﻿1.13°N 124.758°E﻿ ,Sulawesi_and_Sangihe_Islands
123,Tondano,caldera,"1,202 metres (3,944 ft)",unknown, ﻿1.23°N 124.83°E﻿ ,Sulawesi_and_Sangihe_Islands
124,Lokon-Empung,stratovolcano,"1,580 metres (5,180 ft)",2015, ﻿1.358°N 124.792°E﻿ ,Sulawesi_and_Sangihe_Islands
125,Mahawu,stratovolcano,"1,324 metres (4,344 ft)",16 November 1977 (0), ﻿1.358°N 124.858°E﻿ ,Sulawesi_and_Sangihe_Islands
126,Klabat,stratovolcano,"1,995 metres (6,545 ft)",unknown, ﻿1.47°N 125.03°E﻿ ,Sulawesi_and_Sangihe_Islands
127,Tongkoko,stratovolcano,"1,149 metres (3,770 ft)",1880 (1), ﻿1.52°N 125.20°E﻿ ,Sulawesi_and_Sangihe_Islands
128,Ruang,stratovolcano,"725 metres (2,379 ft)",25 September 2002 (4), ﻿2.30°N 125.37°E﻿ ,Sulawesi_and_Sangihe_Islands
129,Karangetang,stratovolcano,"1,784 metres (5,853 ft)",2019 (ongoing), ﻿2.78°N 125.40°E﻿ ,Sulawesi_and_Sangihe_Islands
130,Banua Wuhu,submarine,−5 metres (−16 ft),18 July 1919 (3), ﻿3.138°N 125.491°E﻿ ,Sulawesi_and_Sangihe_Islands
131,Awu,stratovolcano,"1,320 metres (4,330 ft)",2 June 2004 (2), ﻿3.67°N 125.50°E﻿ ,Sulawesi_and_Sangihe_Islands
132,Submarine 1922,submarine,"−5,000 metres (−16,000 ft)",unknown, ﻿3.97°N 125.17°E﻿ ,Sulawesi_and_Sangihe_Islands
133,Tarakan,pyroclastic cone,"318 metres (1,043 ft)",unknown, ﻿1.83°N 127.83°E﻿ ,Halmahera
134,Dukono,complex volcano,"1,335 metres (4,380 ft)",1933-2019 (ongoing), ﻿1.68°N 127.88°E﻿ ,Halmahera
135,Tobaru,unknown,"1,035 metres (3,396 ft)",unknown, ﻿1.63°N 127.67°E﻿ ,Halmahera
136,Ibu,stratovolcano,"1,325 metres (4,347 ft)",2008-19 (ongoing), ﻿1.488°N 127.63°E﻿ ,Halmahera
137,Gamkonora,stratovolcano,"1,635 metres (5,364 ft)",9 July 2007 (?), ﻿1.38°N 127.53°E﻿ ,Halmahera
138,Todoko-Ranu,caldera,"979 metres (3,212 ft)",unknown, ﻿1.25°N 127.47°E﻿ ,Halmahera
139,Jailolo,stratovolcano,"1,130 metres (3,710 ft)",unknown, ﻿1.08°N 127.42°E﻿ ,Halmahera
140,Hiri,stratovolcano,"630 metres (2,070 ft)",unknown, ﻿0.90°N 127.32°E﻿ ,Halmahera
141,Gamalama,stratovolcano,"1,715 metres (5,627 ft)",2018, ﻿0.80°N 127.33°E﻿ ,Halmahera
142,Tidore,stratovolcano,"1,730 metres (5,680 ft)",unknown, ﻿0.658°N 127.40°E﻿ ,Halmahera
143,Mare,stratovolcano,"308 metres (1,010 ft)",unknown, ﻿0.57°N 127.40°E﻿ ,Halmahera
144,Moti,stratovolcano,"950 metres (3,120 ft)",unknown, ﻿0.45°N 127.40°E﻿ ,Halmahera
145,Makian,stratovolcano,"1,357 metres (4,452 ft)",29 July 1988 (3), ﻿0.32°N 127.40°E﻿ ,Halmahera
146,Tigalalu,stratovolcano,"422 metres (1,385 ft)",unknown, ﻿0.07°N 127.42°E﻿ ,Halmahera
147,Amasing,stratovolcano,"1,030 metres (3,380 ft)",unknown, ﻿0.53°S 127.48°E﻿ ,Halmahera
148,Bibinoi,stratovolcano,"900 metres (3,000 ft)",unknown, ﻿0.77°S 127.72°E﻿ ,Halmahera
